BoS_end_time,ticker,win/loss,sum_profits
1/7/2024 8:15,COMBOUSDT,-0.0213,1.3908
1/7/2024 8:15,ADAUSDT,-0.0219,1.3689
1/7/2024 8:15,FILUSDT,-0.0257,1.3432
1/7/2024 8:45,ASTRUSDT,0.0496,1.3928
1/7/2024 12:00,ARKUSDT,0.0477,1.4405
1/7/2024 12:00,STORJUSDT,0.0457,1.4862
1/7/2024 12:00,ZRXUSDT,-0.0235,1.4627
1/7/2024 14:00,DGBUSDT,0.05,1.5127
1/7/2024 14:00,ONGUSDT,0.0463,1.559
1/7/2024 14:00,STMXUSDT,0.0481,1.6071
1/7/2024 14:00,LOOMUSDT,0.0386,1.6457
1/7/2024 14:15,HIGHUSDT,0.0466,1.6923
1/7/2024 14:15,NMRUSDT,0.0493,1.7416
1/7/2024 14:15,GASUSDT,0.0498,1.7914
1/7/2024 14:15,ARKUSDT,0.0479,1.8393
1/7/2024 14:15,TWTUSDT,0.046,1.8853
1/7/2024 14:30,GRTUSDT,0.0409,1.9262
1/7/2024 14:30,CVXUSDT,0.0484,1.9746
1/7/2024 14:30,LRCUSDT,0.0473,2.0219
1/7/2024 15:15,AXSUSDT,0.0476,2.0695
1/7/2024 15:15,BTCDOMUSDT,0.0477,2.1172
1/7/2024 15:15,ATAUSDT,0.0413,2.1585
1/7/2024 15:30,TRUUSDT,0.05,2.2085
1/7/2024 15:45,ORBSUSDT,0.05,2.2585
1/7/2024 16:45,STEEMUSDT,0.0428,2.3013
1/7/2024 16:45,SNXUSDT,0.0458,2.3471
1/7/2024 16:45,BNXUSDT,0.047,2.3941
1/7/2024 16:45,FXSUSDT,0.0485,2.4426
1/7/2024 21:15,DGBUSDT,0.0484,2.491
1/7/2024 22:00,GASUSDT,0.0482,2.5392
1/7/2024 22:00,ONGUSDT,0.0453,2.5845
1/7/2024 22:00,DEFIUSDT,0.0439,2.6284
1/7/2024 22:00,BICOUSDT,0.0433,2.6717
1/7/2024 22:15,XMRUSDT,-0.0223,2.6494
1/8/2024 0:45,BCHUSDT,-0.0252,2.6242
1/8/2024 2:00,BLZUSDT,-0.0222,2.602
1/8/2024 12:00,CELOUSDT,0.0373,2.6393
1/8/2024 12:00,XMRUSDT,-0.02,2.6193
1/8/2024 14:15,HIGHUSDT,0.0491,2.6684
1/8/2024 14:30,SNXUSDT,-0.0209,2.6475
1/8/2024 14:30,ANKRUSDT,-0.0239,2.6236
1/8/2024 15:30,REEFUSDT,0.0469,2.6705
1/8/2024 15:30,YFIUSDT,0.0464,2.7169
1/8/2024 17:30,IOTAUSDT,0.0494,2.7663
1/8/2024 17:30,STEEMUSDT,0.0453,2.8116
1/8/2024 17:30,GMXUSDT,-0.0208,2.7908
1/8/2024 17:30,FXSUSDT,-0.0237,2.7671
1/8/2024 17:30,RUNEUSDT,0.0498,2.8169
1/8/2024 17:30,LRCUSDT,-0.0233,2.7936
1/8/2024 17:45,GRTUSDT,-0.0242,2.7694
1/8/2024 17:45,CHZUSDT,0.0416,2.811
1/8/2024 17:45,DARUSDT,0.0467,2.8577
1/8/2024 17:45,MANAUSDT,-0.0242,2.8335
1/8/2024 17:45,DOGEUSDT,0.043,2.8765
1/8/2024 17:45,STMXUSDT,0.0377,2.9142
1/8/2024 17:45,RSRUSDT,0.0426,2.9568
1/8/2024 17:45,DEFIUSDT,0.0385,2.9953
1/8/2024 17:45,DOTUSDT,-0.0208,2.9745
1/8/2024 17:45,ICXUSDT,-0.0283,2.9462
1/8/2024 17:45,REEFUSDT,-0.0207,2.9255
1/8/2024 17:45,API3USDT,-0.0213,2.9042
1/8/2024 17:45,ETHUSDT,0.0333,2.9375
1/8/2024 17:45,EOSUSDT,-0.0239,2.9136
1/8/2024 17:45,BANDUSDT,-0.0237,2.8899
1/8/2024 17:45,SUSHIUSDT,0.0455,2.9354
1/8/2024 17:45,ATOMUSDT,-0.0209,2.9145
1/8/2024 17:45,ONTUSDT,-0.0227,2.8918
1/8/2024 17:45,SANDUSDT,-0.0249,2.8669
1/8/2024 17:45,SNTUSDT,0.041,2.9079
1/8/2024 17:45,AVAXUSDT,0.0451,2.953
1/8/2024 17:45,ETCUSDT,0.0422,2.9952
1/8/2024 17:45,C98USDT,0.0403,3.0355
1/8/2024 17:45,ADAUSDT,0.0467,3.0822
1/8/2024 17:45,RVNUSDT,-0.0214,3.0608
1/8/2024 17:45,DASHUSDT,-0.0262,3.0346
1/8/2024 18:00,XVGUSDT,0.0457,3.0803
1/8/2024 18:00,SPELLUSDT,-0.0238,3.0565
1/8/2024 18:00,STPTUSDT,-0.021,3.0355
1/8/2024 18:00,ALPHAUSDT,-0.0232,3.0123
1/8/2024 21:00,CELOUSDT,-0.0242,2.9881
1/8/2024 21:30,AGIXUSDT,-0.0212,2.9669
1/8/2024 21:30,HIGHUSDT,-0.0219,2.945
1/8/2024 21:30,NEOUSDT,-0.0247,2.9203
1/8/2024 21:30,1000XECUSDT,0.0235,2.9438
1/8/2024 21:30,FXSUSDT,-0.021,2.9228
1/8/2024 21:30,ONTUSDT,-0.0245,2.8983
1/8/2024 21:30,ANKRUSDT,-0.0245,2.8738
1/8/2024 21:30,BCHUSDT,0.0352,2.909
1/8/2024 21:30,ZILUSDT,-0.0207,2.8883
1/8/2024 22:00,ETCUSDT,-0.0221,2.8662
1/8/2024 22:15,XLMUSDT,-0.0209,2.8453
1/8/2024 22:15,QTUMUSDT,-0.0205,2.8248
1/8/2024 22:15,XVGUSDT,-0.0244,2.8004
1/8/2024 22:15,IOSTUSDT,-0.0203,2.7801
1/8/2024 22:15,DGBUSDT,-0.0218,2.7583
1/8/2024 22:15,KAVAUSDT,-0.0342,2.7241
1/8/2024 22:15,SUSHIUSDT,-0.0297,2.6944
1/8/2024 22:15,ARKUSDT,-0.023,2.6714
1/8/2024 22:15,AXSUSDT,-0.0224,2.649
1/8/2024 22:15,DODOXUSDT,-0.0267,2.6223
1/8/2024 22:15,HOTUSDT,-0.0248,2.5975
1/8/2024 22:30,IOTXUSDT,-0.0321,2.5654
1/8/2024 22:45,CHZUSDT,-0.0214,2.544
1/8/2024 22:45,NMRUSDT,-0.0238,2.5202
1/8/2024 22:45,GASUSDT,-0.0221,2.4981
1/8/2024 22:45,UMAUSDT,-0.0217,2.4764
1/8/2024 22:45,SXPUSDT,-0.0229,2.4535
1/8/2024 22:45,BELUSDT,-0.0227,2.4308
1/8/2024 22:45,C98USDT,-0.0226,2.4082
1/8/2024 23:00,HIGHUSDT,-0.022,2.3862
1/8/2024 23:00,MTLUSDT,-0.0222,2.364
1/8/2024 23:00,LQTYUSDT,-0.0208,2.3432
1/8/2024 23:00,FLOWUSDT,-0.0212,2.322
1/9/2024 3:00,BTCDOMUSDT,-0.0251,2.2969
1/9/2024 5:15,POLYXUSDT,0.0492,2.3461
1/9/2024 8:00,CELOUSDT,0.0416,2.3877
1/9/2024 8:00,LOOMUSDT,0.0472,2.4349
1/9/2024 8:30,IDUSDT,0.0427,2.4776
1/9/2024 8:30,GASUSDT,0.0474,2.525
1/9/2024 8:30,MAGICUSDT,0.05,2.575
